id,date_value,hour_value,mmYYYY_value
75,4-Jan-2012,2,01/2012
76,4-Jan-2012,3,01/2012
77,4-Jan-2012,4,01/2012
78,4-Jan-2012,5,01/2012
79,4-Jan-2012,6,01/2012
80,4-Jan-2012,7,01/2012
81,4-Jan-2012,8,01/2012
82,4-Jan-2012,9,01/2012
83,4-Jan-2012,10,01/2012
84,4-Jan-2012,11,01/2012
85,4-Jan-2012,12,01/2012
86,4-Jan-2012,13,01/2012
87,4-Jan-2012,14,01/2012
88,4-Jan-2012,15,01/2012
89,4-Jan-2012,16,01/2012
90,4-Jan-2012,17,01/2012
91,4-Jan-2012,18,01/2012
92,4-Jan-2012,19,01/2012
93,4-Jan-2012,20,01/2012
94,4-Jan-2012,21,01/2012
95,4-Jan-2012,22,01/2012
96,4-Jan-2012,23,01/2012
97,5-Jan-2012,0,01/2012
98,5-Jan-2012,1,01/2012
99,5-Jan-2012,2,01/2012
100,5-Jan-2012,3,01/2012
101,5-Jan-2012,4,01/2012
102,5-Jan-2012,5,01/2012
103,5-Jan-2012,6,01/2012
104,5-Jan-2012,7,01/2012
105,5-Jan-2012,8,01/2012
106,5-Jan-2012,9,01/2012
107,5-Jan-2012,10,01/2012
108,5-Jan-2012,11,01/2012
109,5-Jan-2012,12,01/2012
110,5-Jan-2012,13,01/2012
111,5-Jan-2012,14,01/2012
112,5-Jan-2012,15,01/2012
113,5-Jan-2012,16,01/2012
114,5-Jan-2012,17,01/2012
115,5-Jan-2012,18,01/2012
116,5-Jan-2012,19,01/2012
117,5-Jan-2012,20,01/2012
118,5-Jan-2012,21,01/2012
119,5-Jan-2012,22,01/2012
120,5-Jan-2012,23,01/2012
121,6-Jan-2012,0,01/2012
122,6-Jan-2012,1,01/2012
123,6-Jan-2012,2,01/2012
124,6-Jan-2012,3,01/2012
125,6-Jan-2012,4,01/2012
126,6-Jan-2012,5,01/2012
127,6-Jan-2012,6,01/2012
128,6-Jan-2012,7,01/2012
129,6-Jan-2012,8,01/2012
130,6-Jan-2012,9,01/2012
131,6-Jan-2012,10,01/2012
132,6-Jan-2012,11,01/2012
133,6-Jan-2012,12,01/2012
134,6-Jan-2012,13,01/2012
135,6-Jan-2012,14,01/2012
136,6-Jan-2012,15,01/2012
137,6-Jan-2012,16,01/2012
138,6-Jan-2012,17,01/2012
139,6-Jan-2012,18,01/2012
140,6-Jan-2012,19,01/2012
141,6-Jan-2012,20,01/2012
142,6-Jan-2012,21,01/2012
143,6-Jan-2012,22,01/2012
144,6-Jan-2012,23,01/2012
145,7-Jan-2012,0,01/2012
146,7-Jan-2012,1,01/2012
147,7-Jan-2012,2,01/2012
148,7-Jan-2012,3,01/2012
149,7-Jan-2012,4,01/2012
150,7-Jan-2012,5,01/2012
151,7-Jan-2012,6,01/2012
152,7-Jan-2012,7,01/2012
153,7-Jan-2012,8,01/2012
154,7-Jan-2012,9,01/2012
155,7-Jan-2012,10,01/2012
156,7-Jan-2012,11,01/2012
157,7-Jan-2012,12,01/2012
158,7-Jan-2012,13,01/2012
159,7-Jan-2012,14,01/2012
160,7-Jan-2012,15,01/2012
161,7-Jan-2012,16,01/2012
162,7-Jan-2012,17,01/2012
163,7-Jan-2012,18,01/2012
164,7-Jan-2012,19,01/2012
165,7-Jan-2012,20,01/2012
166,7-Jan-2012,21,01/2012
167,7-Jan-2012,22,01/2012
168,7-Jan-2012,23,01/2012
169,8-Jan-2012,0,01/2012
170,8-Jan-2012,1,01/2012
171,8-Jan-2012,2,01/2012
172,8-Jan-2012,3,01/2012
173,8-Jan-2012,4,01/2012
174,8-Jan-2012,5,01/2012
175,8-Jan-2012,6,01/2012
176,8-Jan-2012,7,01/2012
177,8-Jan-2012,8,01/2012
178,8-Jan-2012,9,01/2012
179,8-Jan-2012,10,01/2012
180,8-Jan-2012,11,01/2012
181,8-Jan-2012,12,01/2012
182,8-Jan-2012,13,01/2012
183,8-Jan-2012,14,01/2012
184,8-Jan-2012,15,01/2012
185,8-Jan-2012,16,01/2012
186,8-Jan-2012,17,01/2012
187,8-Jan-2012,18,01/2012
188,8-Jan-2012,19,01/2012
189,8-Jan-2012,20,01/2012
190,8-Jan-2012,21,01/2012
191,8-Jan-2012,22,01/2012
192,8-Jan-2012,23,01/2012
193,9-Jan-2012,0,01/2012
194,9-Jan-2012,1,01/2012
195,9-Jan-2012,2,01/2012
196,9-Jan-2012,3,01/2012
197,9-Jan-2012,4,01/2012
198,9-Jan-2012,5,01/2012
199,9-Jan-2012,6,01/2012
200,9-Jan-2012,7,01/2012
201,9-Jan-2012,8,01/2012
202,9-Jan-2012,9,01/2012
203,9-Jan-2012,10,01/2012
204,9-Jan-2012,11,01/2012
205,9-Jan-2012,12,01/2012
206,9-Jan-2012,13,01/2012
207,9-Jan-2012,14,01/2012
208,9-Jan-2012,15,01/2012
209,9-Jan-2012,16,01/2012
210,9-Jan-2012,17,01/2012
211,9-Jan-2012,18,01/2012
212,9-Jan-2012,19,01/2012
213,9-Jan-2012,20,01/2012
214,9-Jan-2012,21,01/2012
215,9-Jan-2012,22,01/2012
216,9-Jan-2012,23,01/2012
217,10-Jan-2012,0,01/2012
218,10-Jan-2012,1,01/2012
219,10-Jan-2012,2,01/2012
220,10-Jan-2012,3,01/2012
221,10-Jan-2012,4,01/2012
222,10-Jan-2012,5,01/2012
223,10-Jan-2012,6,01/2012
224,10-Jan-2012,7,01/2012
225,10-Jan-2012,8,01/2012
226,10-Jan-2012,9,01/2012
227,10-Jan-2012,10,01/2012
228,10-Jan-2012,11,01/2012
229,10-Jan-2012,12,01/2012
230,10-Jan-2012,13,01/2012
231,10-Jan-2012,14,01/2012
232,10-Jan-2012,15,01/2012
233,10-Jan-2012,16,01/2012
234,10-Jan-2012,17,01/2012
235,10-Jan-2012,18,01/2012
236,10-Jan-2012,19,01/2012
237,10-Jan-2012,20,01/2012
238,10-Jan-2012,21,01/2012
239,10-Jan-2012,22,01/2012
240,10-Jan-2012,23,01/2012
241,11-Jan-2012,0,01/2012
242,11-Jan-2012,1,01/2012
243,11-Jan-2012,2,01/2012
244,11-Jan-2012,3,01/2012
245,11-Jan-2012,4,01/2012
246,11-Jan-2012,5,01/2012
247,11-Jan-2012,6,01/2012
248,11-Jan-2012,7,01/2012
249,11-Jan-2012,8,01/2012
250,11-Jan-2012,9,01/2012
251,11-Jan-2012,10,01/2012
252,11-Jan-2012,11,01/2012
253,11-Jan-2012,12,01/2012
254,11-Jan-2012,13,01/2012
255,11-Jan-2012,14,01/2012
256,11-Jan-2012,15,01/2012
257,11-Jan-2012,16,01/2012
258,11-Jan-2012,17,01/2012
259,11-Jan-2012,18,01/2012
260,11-Jan-2012,19,01/2012
261,11-Jan-2012,20,01/2012
262,11-Jan-2012,21,01/2012
263,11-Jan-2012,22,01/2012
264,11-Jan-2012,23,01/2012
265,12-Jan-2012,0,01/2012
266,12-Jan-2012,1,01/2012
267,12-Jan-2012,2,01/2012
268,12-Jan-2012,3,01/2012
269,12-Jan-2012,4,01/2012
270,12-Jan-2012,5,01/2012
271,12-Jan-2012,6,01/2012
272,12-Jan-2012,7,01/2012
273,12-Jan-2012,8,01/2012
274,12-Jan-2012,9,01/2012
275,12-Jan-2012,10,01/2012
276,12-Jan-2012,11,01/2012
277,12-Jan-2012,12,01/2012
278,12-Jan-2012,13,01/2012
279,12-Jan-2012,14,01/2012
280,12-Jan-2012,15,01/2012
281,12-Jan-2012,16,01/2012
282,12-Jan-2012,17,01/2012
283,12-Jan-2012,18,01/2012
284,12-Jan-2012,19,01/2012
285,12-Jan-2012,20,01/2012
286,12-Jan-2012,21,01/2012
287,12-Jan-2012,22,01/2012
288,12-Jan-2012,23,01/2012
289,13-Jan-2012,0,01/2012
290,13-Jan-2012,1,01/2012
291,13-Jan-2012,2,01/2012
292,13-Jan-2012,3,01/2012
293,13-Jan-2012,4,01/2012
294,13-Jan-2012,5,01/2012
295,13-Jan-2012,6,01/2012
296,13-Jan-2012,7,01/2012
297,13-Jan-2012,8,01/2012
298,13-Jan-2012,9,01/2012
299,13-Jan-2012,10,01/2012
300,13-Jan-2012,11,01/2012
301,13-Jan-2012,12,01/2012
302,13-Jan-2012,13,01/2012
303,13-Jan-2012,14,01/2012
304,13-Jan-2012,15,01/2012
305,13-Jan-2012,16,01/2012
306,13-Jan-2012,17,01/2012
307,13-Jan-2012,18,01/2012
308,13-Jan-2012,19,01/2012
309,13-Jan-2012,20,01/2012
310,13-Jan-2012,21,01/2012
311,13-Jan-2012,22,01/2012
312,13-Jan-2012,23,01/2012
313,14-Jan-2012,0,01/2012
314,14-Jan-2012,1,01/2012
315,14-Jan-2012,2,01/2012
316,14-Jan-2012,3,01/2012
317,14-Jan-2012,4,01/2012
318,14-Jan-2012,5,01/2012
319,14-Jan-2012,6,01/2012
320,14-Jan-2012,7,01/2012
321,14-Jan-2012,8,01/2012
322,14-Jan-2012,9,01/2012
323,14-Jan-2012,10,01/2012
324,14-Jan-2012,11,01/2012
325,14-Jan-2012,12,01/2012
326,14-Jan-2012,13,01/2012
327,14-Jan-2012,14,01/2012
328,14-Jan-2012,15,01/2012
329,14-Jan-2012,16,01/2012
330,14-Jan-2012,17,01/2012
331,14-Jan-2012,18,01/2012
332,14-Jan-2012,19,01/2012
333,14-Jan-2012,20,01/2012
334,14-Jan-2012,21,01/2012
335,14-Jan-2012,22,01/2012
336,14-Jan-2012,23,01/2012
337,15-Jan-2012,0,01/2012
338,15-Jan-2012,1,01/2012
339,15-Jan-2012,2,01/2012
340,15-Jan-2012,3,01/2012
341,15-Jan-2012,4,01/2012
342,15-Jan-2012,5,01/2012
343,15-Jan-2012,6,01/2012
344,15-Jan-2012,7,01/2012
345,15-Jan-2012,8,01/2012
346,15-Jan-2012,9,01/2012
347,15-Jan-2012,10,01/2012
348,15-Jan-2012,11,01/2012
349,15-Jan-2012,12,01/2012
350,15-Jan-2012,13,01/2012
351,15-Jan-2012,14,01/2012
352,15-Jan-2012,15,01/2012
353,15-Jan-2012,16,01/2012
354,15-Jan-2012,17,01/2012
355,15-Jan-2012,18,01/2012
356,15-Jan-2012,19,01/2012
357,15-Jan-2012,20,01/2012
358,15-Jan-2012,21,01/2012
359,15-Jan-2012,22,01/2012
360,15-Jan-2012,23,01/2012
361,16-Jan-2012,0,01/2012
362,16-Jan-2012,1,01/2012
363,16-Jan-2012,2,01/2012
364,16-Jan-2012,3,01/2012
365,16-Jan-2012,4,01/2012
366,16-Jan-2012,5,01/2012
367,16-Jan-2012,6,01/2012
368,16-Jan-2012,7,01/2012
369,16-Jan-2012,8,01/2012
370,16-Jan-2012,9,01/2012
371,16-Jan-2012,10,01/2012
372,16-Jan-2012,11,01/2012
373,16-Jan-2012,12,01/2012
374,16-Jan-2012,13,01/2012
375,16-Jan-2012,14,01/2012
376,16-Jan-2012,15,01/2012
377,16-Jan-2012,16,01/2012
378,16-Jan-2012,17,01/2012
379,16-Jan-2012,18,01/2012
380,16-Jan-2012,19,01/2012
381,16-Jan-2012,20,01/2012
382,16-Jan-2012,21,01/2012
383,16-Jan-2012,22,01/2012
384,16-Jan-2012,23,01/2012
385,17-Jan-2012,0,01/2012
386,17-Jan-2012,1,01/2012
387,17-Jan-2012,2,01/2012
388,17-Jan-2012,3,01/2012
389,17-Jan-2012,4,01/2012
390,17-Jan-2012,5,01/2012
391,17-Jan-2012,6,01/2012
392,17-Jan-2012,7,01/2012
393,17-Jan-2012,8,01/2012
394,17-Jan-2012,9,01/2012
395,17-Jan-2012,10,01/2012
396,17-Jan-2012,11,01/2012
397,17-Jan-2012,12,01/2012
398,17-Jan-2012,13,01/2012
399,17-Jan-2012,14,01/2012
400,17-Jan-2012,15,01/2012
401,17-Jan-2012,16,01/2012
402,17-Jan-2012,17,01/2012
403,17-Jan-2012,18,01/2012
404,17-Jan-2012,19,01/2012
405,17-Jan-2012,20,01/2012
406,17-Jan-2012,21,01/2012
407,17-Jan-2012,22,01/2012
408,17-Jan-2012,23,01/2012
409,18-Jan-2012,0,01/2012
410,18-Jan-2012,1,01/2012
411,18-Jan-2012,2,01/2012
412,18-Jan-2012,3,01/2012
413,18-Jan-2012,4,01/2012
414,18-Jan-2012,5,01/2012
415,18-Jan-2012,6,01/2012
416,18-Jan-2012,7,01/2012
417,18-Jan-2012,8,01/2012
418,18-Jan-2012,9,01/2012
419,18-Jan-2012,10,01/2012
420,18-Jan-2012,11,01/2012
421,18-Jan-2012,12,01/2012
422,18-Jan-2012,13,01/2012
423,18-Jan-2012,14,01/2012
424,18-Jan-2012,15,01/2012
425,18-Jan-2012,16,01/2012
426,18-Jan-2012,17,01/2012
427,18-Jan-2012,18,01/2012
428,18-Jan-2012,19,01/2012
429,18-Jan-2012,20,01/2012
430,18-Jan-2012,21,01/2012
431,18-Jan-2012,22,01/2012
432,18-Jan-2012,23,01/2012
433,19-Jan-2012,0,01/2012
434,19-Jan-2012,1,01/2012
435,19-Jan-2012,2,01/2012
436,19-Jan-2012,3,01/2012
437,19-Jan-2012,4,01/2012
438,19-Jan-2012,5,01/2012
439,19-Jan-2012,6,01/2012
440,19-Jan-2012,7,01/2012
441,19-Jan-2012,8,01/2012
442,19-Jan-2012,9,01/2012
443,19-Jan-2012,10,01/2012
444,19-Jan-2012,11,01/2012
445,19-Jan-2012,12,01/2012
446,19-Jan-2012,13,01/2012
447,19-Jan-2012,14,01/2012
448,19-Jan-2012,15,01/2012
449,19-Jan-2012,16,01/2012
450,19-Jan-2012,17,01/2012
451,19-Jan-2012,18,01/2012
452,19-Jan-2012,19,01/2012
453,19-Jan-2012,20,01/2012
454,19-Jan-2012,21,01/2012
455,19-Jan-2012,22,01/2012
456,19-Jan-2012,23,01/2012
457,20-Jan-2012,0,01/2012
458,20-Jan-2012,1,01/2012
459,20-Jan-2012,2,01/2012
460,20-Jan-2012,3,01/2012
461,20-Jan-2012,4,01/2012
462,20-Jan-2012,5,01/2012
463,20-Jan-2012,6,01/2012
464,20-Jan-2012,7,01/2012
465,20-Jan-2012,8,01/2012
466,20-Jan-2012,9,01/2012
467,20-Jan-2012,10,01/2012
468,20-Jan-2012,11,01/2012
469,20-Jan-2012,12,01/2012
470,20-Jan-2012,13,01/2012
471,20-Jan-2012,14,01/2012
472,20-Jan-2012,15,01/2012
473,20-Jan-2012,16,01/2012
474,20-Jan-2012,17,01/2012
475,20-Jan-2012,18,01/2012
476,20-Jan-2012,19,01/2012
477,20-Jan-2012,20,01/2012
478,20-Jan-2012,21,01/2012
479,20-Jan-2012,22,01/2012
480,20-Jan-2012,23,01/2012
481,21-Jan-2012,0,01/2012
482,21-Jan-2012,1,01/2012
483,21-Jan-2012,2,01/2012
484,21-Jan-2012,3,01/2012
485,21-Jan-2012,4,01/2012
486,21-Jan-2012,5,01/2012
487,21-Jan-2012,6,01/2012
488,21-Jan-2012,7,01/2012
489,21-Jan-2012,8,01/2012
490,21-Jan-2012,9,01/2012
491,21-Jan-2012,10,01/2012
492,21-Jan-2012,11,01/2012
493,21-Jan-2012,12,01/2012
494,21-Jan-2012,13,01/2012
495,21-Jan-2012,14,01/2012
496,21-Jan-2012,15,01/2012
497,21-Jan-2012,16,01/2012
498,21-Jan-2012,17,01/2012
499,21-Jan-2012,18,01/2012
500,21-Jan-2012,19,01/2012
501,21-Jan-2012,20,01/2012
502,21-Jan-2012,21,01/2012
503,21-Jan-2012,22,01/2012
504,21-Jan-2012,23,01/2012
505,22-Jan-2012,0,01/2012
506,22-Jan-2012,1,01/2012
507,22-Jan-2012,2,01/2012
508,22-Jan-2012,3,01/2012
509,22-Jan-2012,4,01/2012
510,22-Jan-2012,5,01/2012
511,22-Jan-2012,6,01/2012
512,22-Jan-2012,7,01/2012
513,22-Jan-2012,8,01/2012
514,22-Jan-2012,9,01/2012
515,22-Jan-2012,10,01/2012
516,22-Jan-2012,11,01/2012
517,22-Jan-2012,12,01/2012
518,22-Jan-2012,13,01/2012
519,22-Jan-2012,14,01/2012
520,22-Jan-2012,15,01/2012
521,22-Jan-2012,16,01/2012
522,22-Jan-2012,17,01/2012
523,22-Jan-2012,18,01/2012
524,22-Jan-2012,19,01/2012
525,22-Jan-2012,20,01/2012
526,22-Jan-2012,21,01/2012
527,22-Jan-2012,22,01/2012
528,22-Jan-2012,23,01/2012
529,23-Jan-2012,0,01/2012
530,23-Jan-2012,1,01/2012
531,23-Jan-2012,2,01/2012
532,23-Jan-2012,3,01/2012
533,23-Jan-2012,4,01/2012
534,23-Jan-2012,5,01/2012
535,23-Jan-2012,6,01/2012
536,23-Jan-2012,7,01/2012
537,23-Jan-2012,8,01/2012
538,23-Jan-2012,9,01/2012
539,23-Jan-2012,10,01/2012
540,23-Jan-2012,11,01/2012
541,23-Jan-2012,12,01/2012
542,23-Jan-2012,13,01/2012
543,23-Jan-2012,14,01/2012
544,23-Jan-2012,15,01/2012
545,23-Jan-2012,16,01/2012
546,23-Jan-2012,17,01/2012
547,23-Jan-2012,18,01/2012
548,23-Jan-2012,19,01/2012
549,23-Jan-2012,20,01/2012
550,23-Jan-2012,21,01/2012
551,23-Jan-2012,22,01/2012
552,23-Jan-2012,23,01/2012
553,24-Jan-2012,0,01/2012
554,24-Jan-2012,1,01/2012
555,24-Jan-2012,2,01/2012
556,24-Jan-2012,3,01/2012
557,24-Jan-2012,4,01/2012
558,24-Jan-2012,5,01/2012
559,24-Jan-2012,6,01/2012
560,24-Jan-2012,7,01/2012
561,24-Jan-2012,8,01/2012
562,24-Jan-2012,9,01/2012
563,24-Jan-2012,10,01/2012
564,24-Jan-2012,11,01/2012
565,24-Jan-2012,12,01/2012
566,24-Jan-2012,13,01/2012
567,24-Jan-2012,14,01/2012
568,24-Jan-2012,15,01/2012
569,24-Jan-2012,16,01/2012
570,24-Jan-2012,17,01/2012
571,24-Jan-2012,18,01/2012
572,24-Jan-2012,19,01/2012
573,24-Jan-2012,20,01/2012
574,24-Jan-2012,21,01/2012
575,24-Jan-2012,22,01/2012
576,24-Jan-2012,23,01/2012
577,25-Jan-2012,0,01/2012
578,25-Jan-2012,1,01/2012
579,25-Jan-2012,2,01/2012
580,25-Jan-2012,3,01/2012
581,25-Jan-2012,4,01/2012
582,25-Jan-2012,5,01/2012
583,25-Jan-2012,6,01/2012
584,25-Jan-2012,7,01/2012
585,25-Jan-2012,8,01/2012
586,25-Jan-2012,9,01/2012
587,25-Jan-2012,10,01/2012
588,25-Jan-2012,11,01/2012
589,25-Jan-2012,12,01/2012
590,25-Jan-2012,13,01/2012
591,25-Jan-2012,14,01/2012
592,25-Jan-2012,15,01/2012
593,25-Jan-2012,16,01/2012
594,25-Jan-2012,17,01/2012
595,25-Jan-2012,18,01/2012
596,25-Jan-2012,19,01/2012
597,25-Jan-2012,20,01/2012
598,25-Jan-2012,21,01/2012
599,25-Jan-2012,22,01/2012
600,25-Jan-2012,23,01/2012
601,26-Jan-2012,0,01/2012
602,26-Jan-2012,1,01/2012
603,26-Jan-2012,2,01/2012
604,26-Jan-2012,3,01/2012
605,26-Jan-2012,4,01/2012
606,26-Jan-2012,5,01/2012
607,26-Jan-2012,6,01/2012
608,26-Jan-2012,7,01/2012
609,26-Jan-2012,8,01/2012
610,26-Jan-2012,9,01/2012
611,26-Jan-2012,10,01/2012
612,26-Jan-2012,11,01/2012
613,26-Jan-2012,12,01/2012
614,26-Jan-2012,13,01/2012
615,26-Jan-2012,14,01/2012
616,26-Jan-2012,15,01/2012
617,26-Jan-2012,16,01/2012
618,26-Jan-2012,17,01/2012
619,26-Jan-2012,18,01/2012
620,26-Jan-2012,19,01/2012
621,26-Jan-2012,20,01/2012
622,26-Jan-2012,21,01/2012
623,26-Jan-2012,22,01/2012
624,26-Jan-2012,23,01/2012
625,27-Jan-2012,0,01/2012
626,27-Jan-2012,1,01/2012
627,27-Jan-2012,2,01/2012
628,27-Jan-2012,3,01/2012
629,27-Jan-2012,4,01/2012
630,27-Jan-2012,5,01/2012
631,27-Jan-2012,6,01/2012
632,27-Jan-2012,7,01/2012
633,27-Jan-2012,8,01/2012
634,27-Jan-2012,9,01/2012
635,27-Jan-2012,10,01/2012
636,27-Jan-2012,11,01/2012
637,27-Jan-2012,12,01/2012
638,27-Jan-2012,13,01/2012
639,27-Jan-2012,14,01/2012
640,27-Jan-2012,15,01/2012
641,27-Jan-2012,16,01/2012
642,27-Jan-2012,17,01/2012
643,27-Jan-2012,18,01/2012
644,27-Jan-2012,19,01/2012
645,27-Jan-2012,20,01/2012
646,27-Jan-2012,21,01/2012
647,27-Jan-2012,22,01/2012
648,27-Jan-2012,23,01/2012
649,28-Jan-2012,0,01/2012
650,28-Jan-2012,1,01/2012
651,28-Jan-2012,2,01/2012
652,28-Jan-2012,3,01/2012
653,28-Jan-2012,4,01/2012
654,28-Jan-2012,5,01/2012
655,28-Jan-2012,6,01/2012
656,28-Jan-2012,7,01/2012
657,28-Jan-2012,8,01/2012
658,28-Jan-2012,9,01/2012
659,28-Jan-2012,10,01/2012
660,28-Jan-2012,11,01/2012
661,28-Jan-2012,12,01/2012
662,28-Jan-2012,13,01/2012
663,28-Jan-2012,14,01/2012
664,28-Jan-2012,15,01/2012
665,28-Jan-2012,16,01/2012
666,28-Jan-2012,17,01/2012
667,28-Jan-2012,18,01/2012
668,28-Jan-2012,19,01/2012
669,28-Jan-2012,20,01/2012
670,28-Jan-2012,21,01/2012
671,28-Jan-2012,22,01/2012
672,28-Jan-2012,23,01/2012
673,29-Jan-2012,0,01/2012
674,29-Jan-2012,1,01/2012
675,29-Jan-2012,2,01/2012
676,29-Jan-2012,3,01/2012
677,29-Jan-2012,4,01/2012
678,29-Jan-2012,5,01/2012
679,29-Jan-2012,6,01/2012
680,29-Jan-2012,7,01/2012
681,29-Jan-2012,8,01/2012
682,29-Jan-2012,9,01/2012
683,29-Jan-2012,10,01/2012
684,29-Jan-2012,11,01/2012
685,29-Jan-2012,12,01/2012
686,29-Jan-2012,13,01/2012
687,29-Jan-2012,14,01/2012
688,29-Jan-2012,15,01/2012
689,29-Jan-2012,16,01/2012
690,29-Jan-2012,17,01/2012
691,29-Jan-2012,18,01/2012
692,29-Jan-2012,19,01/2012
693,29-Jan-2012,20,01/2012
694,29-Jan-2012,21,01/2012
695,29-Jan-2012,22,01/2012
696,29-Jan-2012,23,01/2012
697,30-Jan-2012,0,01/2012
698,30-Jan-2012,1,01/2012
699,30-Jan-2012,2,01/2012
700,30-Jan-2012,3,01/2012
701,30-Jan-2012,4,01/2012
702,30-Jan-2012,5,01/2012
703,30-Jan-2012,6,01/2012
704,30-Jan-2012,7,01/2012
705,30-Jan-2012,8,01/2012
706,30-Jan-2012,9,01/2012
707,30-Jan-2012,10,01/2012
708,30-Jan-2012,11,01/2012
709,30-Jan-2012,12,01/2012
710,30-Jan-2012,13,01/2012
711,30-Jan-2012,14,01/2012
712,30-Jan-2012,15,01/2012
713,30-Jan-2012,16,01/2012
714,30-Jan-2012,17,01/2012
715,30-Jan-2012,18,01/2012
716,30-Jan-2012,19,01/2012
717,30-Jan-2012,20,01/2012
718,30-Jan-2012,21,01/2012
719,30-Jan-2012,22,01/2012
720,30-Jan-2012,23,01/2012
721,31-Jan-2012,0,01/2012
722,31-Jan-2012,1,01/2012
723,31-Jan-2012,2,01/2012
724,31-Jan-2012,3,01/2012
725,31-Jan-2012,4,01/2012
726,31-Jan-2012,5,01/2012
727,31-Jan-2012,6,01/2012
728,31-Jan-2012,7,01/2012
729,31-Jan-2012,8,01/2012
730,31-Jan-2012,9,01/2012
731,31-Jan-2012,10,01/2012
732,31-Jan-2012,11,01/2012
733,31-Jan-2012,12,01/2012
734,31-Jan-2012,13,01/2012
735,31-Jan-2012,14,01/2012
736,31-Jan-2012,15,01/2012
737,31-Jan-2012,16,01/2012
738,31-Jan-2012,17,01/2012
739,31-Jan-2012,18,01/2012
740,31-Jan-2012,19,01/2012
741,31-Jan-2012,20,01/2012
742,31-Jan-2012,21,01/2012
743,31-Jan-2012,22,01/2012
744,31-Jan-2012,23,01/2012
745,1-Feb-2012,0,02/2012
746,1-Feb-2012,1,02/2012
747,1-Feb-2012,2,02/2012
748,1-Feb-2012,3,02/2012
749,1-Feb-2012,4,02/2012
750,1-Feb-2012,5,02/2012
751,1-Feb-2012,6,02/2012
752,1-Feb-2012,7,02/2012
753,1-Feb-2012,8,02/2012
754,1-Feb-2012,9,02/2012
755,1-Feb-2012,10,02/2012
756,1-Feb-2012,11,02/2012
757,1-Feb-2012,12,02/2012
758,1-Feb-2012,13,02/2012
759,1-Feb-2012,14,02/2012
760,1-Feb-2012,15,02/2012
761,1-Feb-2012,16,02/2012
762,1-Feb-2012,17,02/2012
763,1-Feb-2012,18,02/2012
764,1-Feb-2012,19,02/2012
765,1-Feb-2012,20,02/2012
766,1-Feb-2012,21,02/2012
767,1-Feb-2012,22,02/2012
768,1-Feb-2012,23,02/2012
769,2-Feb-2012,0,02/2012
770,2-Feb-2012,1,02/2012
771,2-Feb-2012,2,02/2012
772,2-Feb-2012,3,02/2012
773,2-Feb-2012,4,02/2012
774,2-Feb-2012,5,02/2012
775,2-Feb-2012,6,02/2012
